trial,controller,choice_stage1,state_stage2,transition,reward,reward_prob
1,model-free,0,0,common,0,0.6342238375982849
2,model-based,0,0,common,1,0.6587480332672483
3,model-based,0,0,common,1,0.6365246395948156
4,model-free,0,0,common,0,0.6185893891804572
5,model-free,0,0,common,0,0.6255325279464926
6,model-based,1,1,common,1,0.75
7,model-free,0,0,common,1,0.5601511476418461
8,model-based,0,0,common,0,0.5540886942940946
9,model-based,0,0,common,0,0.47550708969832745
10,model-based,0,0,common,1,0.4762761052484479
11,model-based,0,1,rare,1,0.6624875063614374
12,model-based,1,1,common,1,0.6360215382727396
13,model-based,1,1,common,0,0.5631338867742721
14,model-free,1,1,common,1,0.5952571101138949
15,model-free,1,1,common,1,0.6134356736705493
16,model-based,1,0,rare,0,0.6224201497904238
17,model-based,1,0,rare,1,0.6641602019745941
18,model-free,1,1,common,0,0.6650768201112798
19,model-based,0,0,common,1,0.6598374158323661
20,model-based,0,0,common,1,0.6155413178056556
21,model-free,0,0,common,0,0.5963917259141561
22,model-based,1,1,common,1,0.6997620390096061
23,model-based,1,1,common,1,0.6644023100478316
24,model-free,1,0,rare,0,0.6632690693101728
25,model-based,1,0,rare,1,0.6632866982205337
26,model-free,0,1,rare,1,0.7056635954799149
27,model-based,0,1,rare,1,0.7307004482581798
28,model-based,0,0,common,0,0.6391257604602435
29,model-free,1,1,common,1,0.6601163347464546
30,model-based,1,0,rare,0,0.6175274498675968
31,model-based,1,1,common,1,0.6389565799943879
32,model-based,1,0,rare,0,0.6466745378049085
33,model-based,0,0,common,1,0.6700490831482299
34,model-based,0,0,common,1,0.6376364609526551
35,model-based,0,0,common,1,0.6349855759667954
36,model-based,1,1,common,1,0.6494136037743211
37,model-free,0,1,rare,1,0.6514185182878649
38,model-based,0,0,common,1,0.5724934403104844
39,model-based,0,0,common,1,0.6135240356232827
40,model-based,0,0,common,1,0.608664981466846
41,model-based,0,0,common,0,0.6080276244517105
42,model-based,0,0,common,1,0.6413557902663212
43,model-free,0,0,common,0,0.5731690965503881
44,model-based,1,1,common,1,0.6658856507687674
45,model-based,1,1,common,1,0.6850996525504711
46,model-based,1,1,common,1,0.7140100897940125
47,model-based,1,1,common,0,0.7362121745927261
48,model-free,1,1,common,1,0.7496633464395923
49,model-free,1,1,common,1,0.75
50,model-based,1,1,common,0,0.7202676732081533
51,model-free,1,1,common,1,0.7158538082898678
52,model-based,1,1,common,1,0.7131959174924307
53,model-based,1,1,common,0,0.75
54,model-based,1,1,common,1,0.75
55,model-based,0,0,common,1,0.7092016746436947
56,model-based,1,1,common,1,0.75
57,model-based,1,0,rare,1,0.6945494393458437
58,model-based,1,1,common,0,0.6943155823419564
59,model-based,0,0,common,1,0.6635449834545003
60,model-based,0,0,common,1,0.6762053916190344
61,model-based,0,0,common,1,0.7015795012545015
62,model-based,0,0,common,0,0.6733881433187907
63,model-free,0,0,common,1,0.6786521000396091
64,model-based,0,0,common,1,0.6682004029126339
65,model-based,0,0,common,1,0.656782606312432
66,model-based,1,1,common,1,0.609812345868115
67,model-based,1,0,rare,1,0.7038672593390172
68,model-based,0,1,rare,1,0.5720517918947992
69,model-based,1,1,common,0,0.5923043770503426
70,model-free,0,0,common,1,0.6311640942396596
71,model-based,0,0,common,0,0.6561345584137391
72,model-free,0,0,common,0,0.674478767215304
73,model-free,0,1,rare,0,0.5505674529828409
74,model-free,1,0,rare,1,0.7337493601644199
75,model-free,1,1,common,0,0.5230047731981272
76,model-based,0,0,common,1,0.7132539820837899
77,model-free,0,0,common,1,0.75
78,model-based,1,0,rare,0,0.75
79,model-based,1,1,common,0,0.5543052596377027
80,model-free,0,0,common,0,0.75
81,model-free,1,1,common,1,0.5271534805549473
82,model-based,1,1,common,1,0.5593734653843253
83,model-based,1,0,rare,1,0.75
84,model-free,0,0,common,1,0.75
85,model-free,0,0,common,1,0.685901294794808
86,model-based,0,1,rare,1,0.6372142978752986
87,model-based,0,0,common,0,0.706755242139106
88,model-based,1,1,common,0,0.6645656270760797
89,model-free,1,1,common,1,0.6627730384501743
90,model-based,0,0,common,1,0.7083591940052983
91,model-based,0,0,common,1,0.723243171249198
92,model-free,1,1,common,1,0.6020262497959288
93,model-based,1,1,common,1,0.643942045761344
94,model-free,1,1,common,0,0.664093531148354
95,model-free,0,1,rare,1,0.6730375955213689
96,model-free,0,0,common,0,0.680699710587708
97,model-based,0,0,common,0,0.7092379058559025
98,model-based,0,0,common,1,0.7060549814907753
99,model-based,0,0,common,1,0.686997076564567
100,model-based,0,0,common,1,0.6906930468777273
101,model-based,1,1,common,0,0.6096930773208663
102,model-based,1,1,common,1,0.5879435529569923
103,model-based,1,0,rare,0,0.649816633338359
104,model-based,1,1,common,0,0.5947434150429004
105,model-based,1,1,common,0,0.6333714135097601
106,model-based,1,0,rare,1,0.6491929714073303
107,model-free,0,0,common,1,0.6617202504381666
108,model-based,0,0,common,0,0.687563837078935
109,model-free,0,0,common,1,0.6595744783032814
110,model-based,0,0,common,1,0.6409547064729206
111,model-based,1,1,common,1,0.5947604130522695
112,model-based,0,0,common,1,0.6186128987843468
113,model-based,0,0,common,1,0.6291475324267184
114,model-free,1,1,common,1,0.6112537004488241
115,model-based,1,1,common,0,0.593718621575158
116,model-free,0,1,rare,1,0.6006214519088267
117,model-based,0,1,rare,1,0.5754848121260377
118,model-free,0,0,common,1,0.6496587578558437
119,model-free,0,0,common,0,0.5822536868767939
120,model-based,1,0,rare,1,0.5946428907321332
121,model-based,1,1,common,0,0.5387766993630171
122,model-free,1,0,rare,1,0.6054386735826582
123,model-based,1,1,common,1,0.6260521241601048
124,model-based,0,0,common,1,0.6165873356347584
125,model-based,0,0,common,0,0.6018367978415974
126,model-based,0,1,rare,0,0.6119037594522969
127,model-free,1,1,common,1,0.6692534126685112
128,model-free,0,1,rare,1,0.6464620043523353
129,model-based,0,0,common,1,0.663871781621694
130,model-free,0,1,rare,1,0.6645585308512102
131,model-free,1,1,common,1,0.6660326470534242
132,model-based,0,0,common,1,0.5964745689127459
133,model-free,1,0,rare,1,0.5821616562709803
134,model-based,1,0,rare,0,0.5580756808176656
135,model-based,0,1,rare,1,0.75
136,model-free,0,0,common,1,0.596269285326968
137,model-based,0,0,common,1,0.6002645784397062
138,model-based,0,1,rare,1,0.75
139,model-based,1,1,common,1,0.7313152899695344
140,model-based,0,0,common,0,0.574309313634779
141,model-free,1,1,common,1,0.7289976375397241
142,model-free,1,0,rare,1,0.6311009781825653
143,model-free,1,1,common,1,0.6587644105620756
144,model-based,0,0,common,0,0.6349902499916349
145,model-based,1,1,common,1,0.708999773697823
146,model-free,1,0,rare,0,0.6809968347740823
147,model-based,1,1,common,1,0.6630537188901159
148,model-based,1,1,common,1,0.6901266913372621
149,model-free,1,1,common,1,0.6986304951917072
150,model-free,1,1,common,0,0.6639195735096202
151,model-based,1,1,common,1,0.6919154138092634
152,model-based,0,0,common,1,0.6654667138296793
153,model-based,0,1,rare,0,0.6631427468483667
154,model-free,0,1,rare,1,0.669750384671516
155,model-based,1,1,common,1,0.6869554519186786
156,model-free,1,0,rare,1,0.6816570010578145
157,model-based,0,0,common,1,0.7138035139024762
158,model-based,0,1,rare,1,0.6879819080479895
159,model-free,1,1,common,1,0.7003475062420688
160,model-free,0,0,common,0,0.75
161,model-based,1,1,common,1,0.6504251279029648
162,model-free,1,1,common,1,0.6173057299451598
163,model-based,1,0,rare,1,0.7080518394515277
164,model-based,1,1,common,1,0.6479442902993588
165,model-based,1,1,common,0,0.6749724797669224
166,model-free,0,1,rare,1,0.7024569865211121
167,model-free,0,0,common,0,0.7026695468549051
168,model-based,1,1,common,1,0.6536335004819894
169,model-based,1,0,rare,0,0.7372259089553524
170,model-based,1,1,common,0,0.6778590265937765
171,model-based,1,0,rare,1,0.7260176094343401
172,model-free,1,0,rare,1,0.72952109333888
173,model-based,0,0,common,0,0.7155507748914339
174,model-based,0,0,common,1,0.7023245538325802
175,model-based,1,1,common,0,0.745761253715556
176,model-free,1,1,common,0,0.75
177,model-free,0,0,common,1,0.6550427906590884
178,model-free,0,1,rare,0,0.745358663893542
179,model-free,0,0,common,1,0.6353906468090453
180,model-based,0,0,common,0,0.6395139291179791
181,model-based,0,0,common,1,0.5986339149278663
182,model-free,1,1,common,1,0.75
183,model-based,1,0,rare,1,0.6028609681780127
184,model-based,0,1,rare,0,0.75
185,model-based,1,1,common,1,0.7476065945131525
186,model-free,0,0,common,0,0.6085176524745228
187,model-based,0,0,common,0,0.6377653349835711
188,model-based,1,1,common,0,0.7482462432122524
189,model-based,1,1,common,1,0.75
190,model-free,0,1,rare,1,0.75
191,model-based,0,0,common,1,0.6340142330280388
192,model-free,0,1,rare,1,0.75
193,model-based,1,1,common,1,0.7145556471585635
194,model-free,1,1,common,1,0.7369315772543965
195,model-free,1,1,common,0,0.7267441745714348
196,model-free,0,1,rare,1,0.729238025535152
197,model-based,0,0,common,1,0.5883607191208541
198,model-based,0,0,common,0,0.5894243587835138
199,model-based,0,0,common,1,0.6457525890047741
200,model-based,0,1,rare,1,0.75
201,model-based,0,1,rare,1,0.75
202,model-free,0,1,rare,1,0.75
203,model-based,0,1,rare,1,0.71816705451975
204,model-free,0,0,common,1,0.723586379982402
205,model-free,0,0,common,1,0.7048164163360724
206,model-based,1,1,common,1,0.6740658285342517
207,model-based,0,1,rare,1,0.6530715060366032
208,model-based,0,1,rare,0,0.6631170077428735
209,model-free,0,1,rare,0,0.663194585010947
210,model-free,1,1,common,1,0.6226268506016189
211,model-based,1,1,common,0,0.6161430743019006
212,model-based,0,0,common,1,0.7479295653701701
213,model-based,1,1,common,1,0.6252636873191746
214,model-based,1,1,common,1,0.6138135200625928
215,model-based,0,1,rare,1,0.6372646253246158
216,model-free,0,0,common,1,0.75
217,model-based,0,0,common,1,0.7195906764009222
218,model-free,0,0,common,0,0.75
219,model-based,1,1,common,0,0.6904815709273676
220,model-based,1,1,common,1,0.7025217919096022
221,model-free,1,0,rare,1,0.7266733752949022
222,model-based,1,1,common,0,0.6994993020060652
223,model-based,1,0,rare,0,0.7217847605183088
